,subject,session,run,task,ts_CAPS,pearson_r
74,sub-09,ses-01,run-01,task-checker,tsCAP3,-0.18830369800318328
75,sub-09,ses-01,run-01,task-checker,tsCAP4,-0.17922030683406623
76,sub-09,ses-01,run-01,task-checker,tsCAP5,0.1244066280594206
77,sub-09,ses-01,run-01,task-checker,tsCAP6,0.07603061234343503
78,sub-09,ses-01,run-01,task-checker,tsCAP7,0.12838763962596747
79,sub-09,ses-01,run-01,task-checker,tsCAP8,0.0786922069924175
80,sub-11,ses-01,run-01,task-checker,tsCAP1,-0.03557005847912918
81,sub-11,ses-02,run-01,task-checker,tsCAP1,0.05932025963841189
82,sub-11,ses-01,run-01,task-checker,tsCAP2,-0.04723249777677114
83,sub-11,ses-02,run-01,task-checker,tsCAP2,0.1087010429536157
84,sub-11,ses-01,run-01,task-checker,tsCAP3,-0.06113249382780817
85,sub-11,ses-02,run-01,task-checker,tsCAP3,0.05541291114917793
86,sub-11,ses-01,run-01,task-checker,tsCAP4,-0.10286266702950421
87,sub-11,ses-02,run-01,task-checker,tsCAP4,0.021836765805613726
88,sub-11,ses-01,run-01,task-checker,tsCAP5,0.02308086441612596
89,sub-11,ses-02,run-01,task-checker,tsCAP5,0.06908913285761596
90,sub-11,ses-01,run-01,task-checker,tsCAP6,0.0028982262172670124
91,sub-11,ses-02,run-01,task-checker,tsCAP6,0.19426305448093562
92,sub-11,ses-01,run-01,task-checker,tsCAP7,-0.23760873826514442
93,sub-11,ses-02,run-01,task-checker,tsCAP7,0.00962266711231327
94,sub-11,ses-01,run-01,task-checker,tsCAP8,-0.21161120813218698
95,sub-11,ses-02,run-01,task-checker,tsCAP8,0.05703571286479991
96,sub-12,ses-01,run-01,task-checker,tsCAP1,0.040961330996362934
97,sub-12,ses-02,run-01,task-checker,tsCAP1,-0.012940199373268237
98,sub-12,ses-01,run-01,task-checker,tsCAP2,0.003989915608586458
99,sub-12,ses-02,run-01,task-checker,tsCAP2,-0.08946279545606563
100,sub-12,ses-01,run-01,task-checker,tsCAP3,0.11194998452428291
101,sub-12,ses-02,run-01,task-checker,tsCAP3,0.1853710680283106
102,sub-12,ses-01,run-01,task-checker,tsCAP4,0.08680538702946511
103,sub-12,ses-02,run-01,task-checker,tsCAP4,0.1934407195634854
104,sub-12,ses-01,run-01,task-checker,tsCAP5,-0.14214970365998694
105,sub-12,ses-02,run-01,task-checker,tsCAP5,-0.07540954158876595
106,sub-12,ses-01,run-01,task-checker,tsCAP6,-0.13523608302629384
107,sub-12,ses-02,run-01,task-checker,tsCAP6,-0.0821272134985113
108,sub-12,ses-01,run-01,task-checker,tsCAP7,-0.07833891117056338
109,sub-12,ses-02,run-01,task-checker,tsCAP7,-0.043656967952973406
110,sub-12,ses-01,run-01,task-checker,tsCAP8,-0.0803955912651226
111,sub-12,ses-02,run-01,task-checker,tsCAP8,-0.06423066119622096
112,sub-13,ses-01,run-01,task-checker,tsCAP1,0.3339931556052607
113,sub-13,ses-02,run-01,task-checker,tsCAP1,0.09757746489424422
114,sub-13,ses-01,run-01,task-checker,tsCAP2,0.32441259307389525
115,sub-13,ses-02,run-01,task-checker,tsCAP2,0.10772572569269108
116,sub-13,ses-01,run-01,task-checker,tsCAP3,-0.04197858066987136
117,sub-13,ses-02,run-01,task-checker,tsCAP3,0.0685680419974433
118,sub-13,ses-01,run-01,task-checker,tsCAP4,-0.08101628777816239
119,sub-13,ses-02,run-01,task-checker,tsCAP4,0.07646920098745594
120,sub-13,ses-01,run-01,task-checker,tsCAP5,-0.12069938039578193
121,sub-13,ses-02,run-01,task-checker,tsCAP5,-0.003610338682578867
122,sub-13,ses-01,run-01,task-checker,tsCAP6,-0.11075983319263731
123,sub-13,ses-02,run-01,task-checker,tsCAP6,0.01579544871116219
124,sub-13,ses-01,run-01,task-checker,tsCAP7,-0.13926388384554028
125,sub-13,ses-02,run-01,task-checker,tsCAP7,-0.07358195949905534
126,sub-13,ses-01,run-01,task-checker,tsCAP8,-0.13522107059977811
127,sub-13,ses-02,run-01,task-checker,tsCAP8,-0.06663150286263292
128,sub-14,ses-01,run-01,task-checker,tsCAP1,-0.08073537599863381
129,sub-14,ses-02,run-01,task-checker,tsCAP1,0.32179835859616834
130,sub-14,ses-01,run-01,task-checker,tsCAP2,-0.05058407020963941
131,sub-14,ses-02,run-01,task-checker,tsCAP2,0.3565955712209693
132,sub-14,ses-01,run-01,task-checker,tsCAP3,0.1263927273612602
133,sub-14,ses-02,run-01,task-checker,tsCAP3,0.01048936339567576
134,sub-14,ses-01,run-01,task-checker,tsCAP4,0.13324485378180215
135,sub-14,ses-02,run-01,task-checker,tsCAP4,0.03309841729555039
136,sub-14,ses-01,run-01,task-checker,tsCAP5,0.10101886235422579
137,sub-14,ses-02,run-01,task-checker,tsCAP5,0.18941636587307062
138,sub-14,ses-01,run-01,task-checker,tsCAP6,0.08851281282914375
139,sub-14,ses-02,run-01,task-checker,tsCAP6,0.17026973524021222
140,sub-14,ses-01,run-01,task-checker,tsCAP7,0.0029587440049815145
141,sub-14,ses-02,run-01,task-checker,tsCAP7,-0.061077032417331756
142,sub-14,ses-01,run-01,task-checker,tsCAP8,0.0069250067801387575
143,sub-14,ses-02,run-01,task-checker,tsCAP8,-0.08047618091845893
144,sub-15,ses-01,run-01,task-checker,tsCAP1,0.2831545184112734
145,sub-15,ses-02,run-01,task-checker,tsCAP1,0.1631564286412341
146,sub-15,ses-01,run-01,task-checker,tsCAP2,0.2393373490194808
147,sub-15,ses-02,run-01,task-checker,tsCAP2,0.0982605362775621
148,sub-15,ses-01,run-01,task-checker,tsCAP3,0.01899752101484088
149,sub-15,ses-02,run-01,task-checker,tsCAP3,0.13705347404065557
150,sub-15,ses-01,run-01,task-checker,tsCAP4,-0.01878116771908852
151,sub-15,ses-02,run-01,task-checker,tsCAP4,0.15680067501781686
152,sub-15,ses-01,run-01,task-checker,tsCAP5,-0.041192229753387266
153,sub-15,ses-02,run-01,task-checker,tsCAP5,-0.005513089820086927
154,sub-15,ses-01,run-01,task-checker,tsCAP6,-0.010696076942954573
155,sub-15,ses-02,run-01,task-checker,tsCAP6,-0.03742908779319303
156,sub-15,ses-01,run-01,task-checker,tsCAP7,0.268909722932458
157,sub-15,ses-02,run-01,task-checker,tsCAP7,0.10142149236235472
158,sub-15,ses-01,run-01,task-checker,tsCAP8,0.2527666104317441
159,sub-15,ses-02,run-01,task-checker,tsCAP8,0.08251593832064877
160,sub-16,ses-02,run-01,task-checker,tsCAP1,0.1346675947292008
161,sub-16,ses-02,run-01,task-checker,tsCAP2,0.1136280101549316
162,sub-16,ses-02,run-01,task-checker,tsCAP3,0.12427211020092986
163,sub-16,ses-02,run-01,task-checker,tsCAP4,0.07360371956460979
164,sub-16,ses-02,run-01,task-checker,tsCAP5,0.11265491846557056
165,sub-16,ses-02,run-01,task-checker,tsCAP6,0.12364488565866145
166,sub-16,ses-02,run-01,task-checker,tsCAP7,0.14326577680854707
167,sub-16,ses-02,run-01,task-checker,tsCAP8,0.1393553949822024
168,sub-18,ses-01,run-01,task-checker,tsCAP1,0.2172798778343501
169,sub-18,ses-01,run-01,task-checker,tsCAP2,0.261385725280303
170,sub-18,ses-01,run-01,task-checker,tsCAP3,0.3667789984422805
171,sub-18,ses-01,run-01,task-checker,tsCAP4,0.320414020855823
172,sub-18,ses-01,run-01,task-checker,tsCAP5,-0.19831164317187344
173,sub-18,ses-01,run-01,task-checker,tsCAP6,-0.21310211149750502
174,sub-18,ses-01,run-01,task-checker,tsCAP7,0.011260148709345361
175,sub-18,ses-01,run-01,task-checker,tsCAP8,-0.09089245326438862
176,sub-20,ses-01,run-01,task-checker,tsCAP1,-0.03622140619495842
177,sub-20,ses-02,run-01,task-checker,tsCAP1,0.1723418739026287
178,sub-20,ses-01,run-01,task-checker,tsCAP2,-0.06377784506175377
179,sub-20,ses-02,run-01,task-checker,tsCAP2,0.14028768373141
180,sub-20,ses-01,run-01,task-checker,tsCAP3,-0.05026303412642827
181,sub-20,ses-02,run-01,task-checker,tsCAP3,0.05585353707130168
182,sub-20,ses-01,run-01,task-checker,tsCAP4,-0.04417846542325875
183,sub-20,ses-02,run-01,task-checker,tsCAP4,0.07479476353656203
184,sub-20,ses-01,run-01,task-checker,tsCAP5,0.21422354876600944
185,sub-20,ses-02,run-01,task-checker,tsCAP5,-0.21228369869143315
186,sub-20,ses-01,run-01,task-checker,tsCAP6,0.15821184369471109
187,sub-20,ses-02,run-01,task-checker,tsCAP6,-0.2174709819761135
188,sub-20,ses-01,run-01,task-checker,tsCAP7,0.07874421320291677
189,sub-20,ses-02,run-01,task-checker,tsCAP7,-0.10071625762504915
190,sub-20,ses-01,run-01,task-checker,tsCAP8,0.050951680523611195
191,sub-20,ses-02,run-01,task-checker,tsCAP8,-0.08414193266013938
192,sub-21,ses-01,run-01,task-checker,tsCAP1,0.13997110836908017
193,sub-21,ses-01,run-01,task-checker,tsCAP2,0.11350783896418613
194,sub-21,ses-01,run-01,task-checker,tsCAP3,0.1152106443818886
195,sub-21,ses-01,run-01,task-checker,tsCAP4,0.09489628973400731
196,sub-21,ses-01,run-01,task-checker,tsCAP5,0.20848897812531966
197,sub-21,ses-01,run-01,task-checker,tsCAP6,0.21033574544101608
198,sub-21,ses-01,run-01,task-checker,tsCAP7,-0.16654148581131212
199,sub-21,ses-01,run-01,task-checker,tsCAP8,-0.0769153025358987
200,sub-22,ses-01,run-01,task-checker,tsCAP1,-0.014841889307795243
201,sub-22,ses-02,run-01,task-checker,tsCAP1,-0.04445096821703737
202,sub-22,ses-01,run-01,task-checker,tsCAP2,0.01823690744901237
203,sub-22,ses-02,run-01,task-checker,tsCAP2,-0.16928955376128002
204,sub-22,ses-01,run-01,task-checker,tsCAP3,0.09320415871028334
205,sub-22,ses-02,run-01,task-checker,tsCAP3,0.0821248355390549
206,sub-22,ses-01,run-01,task-checker,tsCAP4,0.0952201839361817
207,sub-22,ses-02,run-01,task-checker,tsCAP4,0.10324163807638304
208,sub-22,ses-01,run-01,task-checker,tsCAP5,0.3040990314066642
209,sub-22,ses-02,run-01,task-checker,tsCAP5,0.14538391210117482
210,sub-22,ses-01,run-01,task-checker,tsCAP6,0.32206153611783944
211,sub-22,ses-02,run-01,task-checker,tsCAP6,0.16096753235744515
212,sub-22,ses-01,run-01,task-checker,tsCAP7,0.1943120126782458
213,sub-22,ses-02,run-01,task-checker,tsCAP7,0.2600097692213733
214,sub-22,ses-01,run-01,task-checker,tsCAP8,0.20881269240268696
215,sub-22,ses-02,run-01,task-checker,tsCAP8,0.2694100852107599
