,iteration,subject,session,run,task,ts_CAPS,pearson_r
70,9,sub-01,ses-01,run-01,task-checker,tsCAP7,0.305346941650079
71,9,sub-01,ses-01,run-01,task-checker,tsCAP8,0.31317161442378
72,10,sub-01,ses-01,run-01,task-checker,tsCAP1,0.4590555968842358
73,10,sub-01,ses-01,run-01,task-checker,tsCAP2,-0.07408815859841189
74,10,sub-01,ses-01,run-01,task-checker,tsCAP3,0.34163414861593794
75,10,sub-01,ses-01,run-01,task-checker,tsCAP4,0.26030843636788975
76,10,sub-01,ses-01,run-01,task-checker,tsCAP5,0.19317236212218977
77,10,sub-01,ses-01,run-01,task-checker,tsCAP6,0.15309976619867138
78,10,sub-01,ses-01,run-01,task-checker,tsCAP7,0.14863509436525163
79,10,sub-01,ses-01,run-01,task-checker,tsCAP8,-0.2548406046533918
80,1,sub-02,ses-01,run-01,task-checker,tsCAP1,0.05195083342342047
81,1,sub-02,ses-01,run-01,task-checker,tsCAP2,0.3557976334844317
82,1,sub-02,ses-01,run-01,task-checker,tsCAP3,0.2561907565353
83,1,sub-02,ses-01,run-01,task-checker,tsCAP4,0.018095805839448593
84,1,sub-02,ses-01,run-01,task-checker,tsCAP5,0.3517274501441947
85,1,sub-02,ses-01,run-01,task-checker,tsCAP6,0.34268300468081836
86,1,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.11570069197672767
87,1,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.31543919764519124
88,2,sub-02,ses-01,run-01,task-checker,tsCAP1,0.275882231093239
89,2,sub-02,ses-01,run-01,task-checker,tsCAP2,0.09285796457968268
90,2,sub-02,ses-01,run-01,task-checker,tsCAP3,0.26463936448304937
91,2,sub-02,ses-01,run-01,task-checker,tsCAP4,0.2540730356018006
92,2,sub-02,ses-01,run-01,task-checker,tsCAP5,-0.0009631528449010605
93,2,sub-02,ses-01,run-01,task-checker,tsCAP6,0.06139027448627801
94,2,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.14841263361777748
95,2,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.0419512648518532
96,3,sub-02,ses-01,run-01,task-checker,tsCAP1,0.314121622488662
97,3,sub-02,ses-01,run-01,task-checker,tsCAP2,0.12508714617492164
98,3,sub-02,ses-01,run-01,task-checker,tsCAP3,0.27228335149462285
99,3,sub-02,ses-01,run-01,task-checker,tsCAP4,0.26172506479096314
100,3,sub-02,ses-01,run-01,task-checker,tsCAP5,0.12763208078545932
101,3,sub-02,ses-01,run-01,task-checker,tsCAP6,-0.0856938529292226
102,3,sub-02,ses-01,run-01,task-checker,tsCAP7,0.02654274061269751
103,3,sub-02,ses-01,run-01,task-checker,tsCAP8,0.04231039678215364
104,4,sub-02,ses-01,run-01,task-checker,tsCAP1,-0.2499466607999422
105,4,sub-02,ses-01,run-01,task-checker,tsCAP2,0.058911015008897075
106,4,sub-02,ses-01,run-01,task-checker,tsCAP3,-0.025170019467598625
107,4,sub-02,ses-01,run-01,task-checker,tsCAP4,-0.006913766034969236
108,4,sub-02,ses-01,run-01,task-checker,tsCAP5,0.15502508420546907
109,4,sub-02,ses-01,run-01,task-checker,tsCAP6,-0.1328338702276735
110,4,sub-02,ses-01,run-01,task-checker,tsCAP7,0.14539932318008267
111,4,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.05230270804365387
112,5,sub-02,ses-01,run-01,task-checker,tsCAP1,-0.08065325665282948
113,5,sub-02,ses-01,run-01,task-checker,tsCAP2,-0.10294107958619181
114,5,sub-02,ses-01,run-01,task-checker,tsCAP3,0.3052161963627397
115,5,sub-02,ses-01,run-01,task-checker,tsCAP4,0.2900665097155493
116,5,sub-02,ses-01,run-01,task-checker,tsCAP5,-0.03720977938826329
117,5,sub-02,ses-01,run-01,task-checker,tsCAP6,0.1413633075028682
118,5,sub-02,ses-01,run-01,task-checker,tsCAP7,0.07087647083534136
119,5,sub-02,ses-01,run-01,task-checker,tsCAP8,0.08908591255336044
120,6,sub-02,ses-01,run-01,task-checker,tsCAP1,0.35236160081733287
121,6,sub-02,ses-01,run-01,task-checker,tsCAP2,0.3906807543016089
122,6,sub-02,ses-01,run-01,task-checker,tsCAP3,0.42064533377088553
123,6,sub-02,ses-01,run-01,task-checker,tsCAP4,0.40118641315467257
124,6,sub-02,ses-01,run-01,task-checker,tsCAP5,0.11849020256793208
125,6,sub-02,ses-01,run-01,task-checker,tsCAP6,0.01366294990074844
126,6,sub-02,ses-01,run-01,task-checker,tsCAP7,0.04874315905717754
127,6,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.046236798277864186
128,7,sub-02,ses-01,run-01,task-checker,tsCAP1,0.055069201413017355
129,7,sub-02,ses-01,run-01,task-checker,tsCAP2,-0.10193627025488752
130,7,sub-02,ses-01,run-01,task-checker,tsCAP3,0.3120114356738349
131,7,sub-02,ses-01,run-01,task-checker,tsCAP4,0.36781202785059186
132,7,sub-02,ses-01,run-01,task-checker,tsCAP5,-0.16796051030071066
133,7,sub-02,ses-01,run-01,task-checker,tsCAP6,-0.06108151905622706
134,7,sub-02,ses-01,run-01,task-checker,tsCAP7,0.020145111957417187
135,7,sub-02,ses-01,run-01,task-checker,tsCAP8,0.010056957232763853
136,8,sub-02,ses-01,run-01,task-checker,tsCAP1,0.19516654598913544
137,8,sub-02,ses-01,run-01,task-checker,tsCAP2,0.029313975192660286
138,8,sub-02,ses-01,run-01,task-checker,tsCAP3,0.2190307692399423
139,8,sub-02,ses-01,run-01,task-checker,tsCAP4,0.15225040757965133
140,8,sub-02,ses-01,run-01,task-checker,tsCAP5,-0.22908828446337753
141,8,sub-02,ses-01,run-01,task-checker,tsCAP6,-0.04367078125684657
142,8,sub-02,ses-01,run-01,task-checker,tsCAP7,0.03918955776491078
143,8,sub-02,ses-01,run-01,task-checker,tsCAP8,0.31132818362580034
144,9,sub-02,ses-01,run-01,task-checker,tsCAP1,0.2167858902047223
145,9,sub-02,ses-01,run-01,task-checker,tsCAP2,0.3549513772218787
146,9,sub-02,ses-01,run-01,task-checker,tsCAP3,0.30367737530506433
147,9,sub-02,ses-01,run-01,task-checker,tsCAP4,0.28725864999908074
148,9,sub-02,ses-01,run-01,task-checker,tsCAP5,-0.04607968390383293
149,9,sub-02,ses-01,run-01,task-checker,tsCAP6,-0.04678215834246396
150,9,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.15618649203995796
151,9,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.0676553207531813
152,10,sub-02,ses-01,run-01,task-checker,tsCAP1,0.16556731742744624
153,10,sub-02,ses-01,run-01,task-checker,tsCAP2,0.22643500678839887
154,10,sub-02,ses-01,run-01,task-checker,tsCAP3,0.22486018895610227
155,10,sub-02,ses-01,run-01,task-checker,tsCAP4,-0.0888508398277847
156,10,sub-02,ses-01,run-01,task-checker,tsCAP5,0.12409314595063221
157,10,sub-02,ses-01,run-01,task-checker,tsCAP6,0.12570046329245
158,10,sub-02,ses-01,run-01,task-checker,tsCAP7,0.024532880773041423
159,10,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.04538752683212503
160,1,sub-03,ses-01,run-01,task-checker,tsCAP5,0.15479536437584324
161,1,sub-03,ses-01,run-01,task-checker,tsCAP6,0.11226875213197207
162,1,sub-03,ses-01,run-01,task-checker,tsCAP7,0.020591370973801544
163,1,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.15245274768136113
164,2,sub-03,ses-01,run-01,task-checker,tsCAP1,-0.08175280290778504
165,2,sub-03,ses-01,run-01,task-checker,tsCAP2,-0.11299655881509545
166,2,sub-03,ses-01,run-01,task-checker,tsCAP3,0.07416100398827702
167,2,sub-03,ses-01,run-01,task-checker,tsCAP4,-0.5094936065873888
168,2,sub-03,ses-01,run-01,task-checker,tsCAP5,-0.005895986509078747
169,2,sub-03,ses-01,run-01,task-checker,tsCAP6,0.23891522541790583
170,2,sub-03,ses-01,run-01,task-checker,tsCAP7,0.08550412311807529
171,2,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.1704996643873789
172,3,sub-03,ses-01,run-01,task-checker,tsCAP5,0.06561182986593989
173,3,sub-03,ses-01,run-01,task-checker,tsCAP6,-0.11686888096591436
174,3,sub-03,ses-01,run-01,task-checker,tsCAP7,-0.048565088401477496
175,3,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.13762260229996576
176,4,sub-03,ses-01,run-01,task-checker,tsCAP5,-0.013468957411778663
177,4,sub-03,ses-01,run-01,task-checker,tsCAP6,0.09262779825597833
178,4,sub-03,ses-01,run-01,task-checker,tsCAP7,-0.03762970370196079
179,4,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.09749390219202952
180,5,sub-03,ses-01,run-01,task-checker,tsCAP5,0.5526171211981412
181,5,sub-03,ses-01,run-01,task-checker,tsCAP6,-0.24454413457259214
182,5,sub-03,ses-01,run-01,task-checker,tsCAP7,0.14342622731635543
183,5,sub-03,ses-01,run-01,task-checker,tsCAP8,0.10962696193183429
184,6,sub-03,ses-01,run-01,task-checker,tsCAP1,0.1414658223169692
185,6,sub-03,ses-01,run-01,task-checker,tsCAP2,-0.023452277113117977
186,6,sub-03,ses-01,run-01,task-checker,tsCAP5,0.26882893166886185
187,6,sub-03,ses-01,run-01,task-checker,tsCAP6,-0.24006817033008568
188,6,sub-03,ses-01,run-01,task-checker,tsCAP7,-0.11058846888287704
189,6,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.08715987522705508
190,7,sub-03,ses-01,run-01,task-checker,tsCAP5,-0.17453887308366092
191,7,sub-03,ses-01,run-01,task-checker,tsCAP6,0.011185494039782409
192,7,sub-03,ses-01,run-01,task-checker,tsCAP7,0.12840178677111533
193,7,sub-03,ses-01,run-01,task-checker,tsCAP8,0.0891355062829288
194,8,sub-03,ses-01,run-01,task-checker,tsCAP5,0.26098246253067126
195,8,sub-03,ses-01,run-01,task-checker,tsCAP6,0.13005993119321727
196,8,sub-03,ses-01,run-01,task-checker,tsCAP7,-0.0457030022726751
197,8,sub-03,ses-01,run-01,task-checker,tsCAP8,0.10345998791408179
198,9,sub-03,ses-01,run-01,task-checker,tsCAP5,-0.17474454936128883
199,9,sub-03,ses-01,run-01,task-checker,tsCAP6,-0.08513538172210638
200,9,sub-03,ses-01,run-01,task-checker,tsCAP7,0.1146168603753192
