,iteration,subject,session,run,task,ts_CAPS,pearson_r,eye_features,eeg_features_channel,eeg_features_band
50,10,sub-07,ses-01,run-01,task-checker,tsCAP2,0.30480564701343005,['first_derivative'],NA,NA
51,10,sub-07,ses-02,run-01,task-checker,tsCAP2,0.19358302466421906,['first_derivative'],NA,NA
52,10,sub-07,ses-01,run-01,task-checker,tsCAP3,0.28050947906382606,['first_derivative'],NA,NA
53,10,sub-07,ses-02,run-01,task-checker,tsCAP3,0.11897124183814282,['first_derivative'],NA,NA
54,10,sub-07,ses-01,run-01,task-checker,tsCAP4,0.3852490171479047,['pupil_dilation'],NA,NA
55,10,sub-07,ses-02,run-01,task-checker,tsCAP4,0.2843817265418387,['pupil_dilation'],NA,NA
56,10,sub-07,ses-01,run-01,task-checker,tsCAP5,0.06470723252005713,['first_derivative'],NA,NA
57,10,sub-07,ses-02,run-01,task-checker,tsCAP5,0.32477185349565674,['first_derivative'],NA,NA
58,10,sub-07,ses-01,run-01,task-checker,tsCAP6,0.08633784670655632,['second_derivative'],NA,NA
59,10,sub-07,ses-02,run-01,task-checker,tsCAP6,0.17220594671964537,['second_derivative'],NA,NA
60,10,sub-07,ses-01,run-01,task-checker,tsCAP7,0.04312698997991643,['pupil_dilation'],NA,NA
61,10,sub-07,ses-02,run-01,task-checker,tsCAP7,0.27905156186738445,['pupil_dilation'],NA,NA
62,10,sub-07,ses-01,run-01,task-checker,tsCAP8,0.0835514851810661,['first_derivative'],NA,NA
63,10,sub-07,ses-02,run-01,task-checker,tsCAP8,0.25603303354293333,['first_derivative'],NA,NA
64,10,sub-08,ses-01,run-01,task-checker,tsCAP1,-0.012726282865677304,['pupil_dilation'],NA,NA
65,10,sub-08,ses-02,run-01,task-checker,tsCAP1,0.4073834594266194,['pupil_dilation'],NA,NA
66,10,sub-08,ses-01,run-01,task-checker,tsCAP2,0.18046345905236127,['first_derivative'],NA,NA
67,10,sub-08,ses-02,run-01,task-checker,tsCAP2,0.29228814239810763,['first_derivative'],NA,NA
68,10,sub-08,ses-01,run-01,task-checker,tsCAP3,0.15497913259089707,['first_derivative'],NA,NA
69,10,sub-08,ses-02,run-01,task-checker,tsCAP3,0.16000442076881077,['first_derivative'],NA,NA
70,10,sub-08,ses-01,run-01,task-checker,tsCAP4,0.4009423940036917,['pupil_dilation'],NA,NA
71,10,sub-08,ses-02,run-01,task-checker,tsCAP4,0.3581242532856962,['pupil_dilation'],NA,NA
72,10,sub-08,ses-01,run-01,task-checker,tsCAP5,0.11870250120770408,['first_derivative'],NA,NA
73,10,sub-08,ses-02,run-01,task-checker,tsCAP5,0.2955574164120683,['first_derivative'],NA,NA
74,10,sub-08,ses-01,run-01,task-checker,tsCAP6,0.06451349470756965,['second_derivative'],NA,NA
75,10,sub-08,ses-02,run-01,task-checker,tsCAP6,-0.0033717110515404706,['second_derivative'],NA,NA
76,10,sub-08,ses-01,run-01,task-checker,tsCAP7,-0.021321980277829958,['pupil_dilation'],NA,NA
77,10,sub-08,ses-02,run-01,task-checker,tsCAP7,0.09705592317269289,['pupil_dilation'],NA,NA
78,10,sub-08,ses-01,run-01,task-checker,tsCAP8,-0.09573827597277548,['first_derivative'],NA,NA
79,10,sub-08,ses-02,run-01,task-checker,tsCAP8,0.1535818386456452,['first_derivative'],NA,NA
80,10,sub-09,ses-01,run-01,task-checker,tsCAP1,0.30125386903407103,['pupil_dilation'],NA,NA
81,10,sub-09,ses-01,run-01,task-checker,tsCAP2,0.10680884564932491,['first_derivative'],NA,NA
