,iteration,subject,session,run,task,ts_CAPS,pearson_r
0,1,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5137427268676086
1,1,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5185467662705436
2,1,sub-01,ses-01,run-01,task-checker,tsCAP3,0.28816164111118886
3,1,sub-01,ses-01,run-01,task-checker,tsCAP4,0.35734447193634783
4,1,sub-01,ses-01,run-01,task-checker,tsCAP5,0.5936129382424005
5,1,sub-01,ses-01,run-01,task-checker,tsCAP6,0.45024524988433845
6,1,sub-01,ses-01,run-01,task-checker,tsCAP7,0.32317119974072417
7,1,sub-01,ses-01,run-01,task-checker,tsCAP8,0.15129546832504434
8,2,sub-01,ses-01,run-01,task-checker,tsCAP1,0.36436821274772974
9,2,sub-01,ses-01,run-01,task-checker,tsCAP2,0.020807960421864717
10,2,sub-01,ses-01,run-01,task-checker,tsCAP3,0.34303815719564
11,2,sub-01,ses-01,run-01,task-checker,tsCAP4,0.3033747330206413
12,2,sub-01,ses-01,run-01,task-checker,tsCAP5,0.31015830510778986
13,2,sub-01,ses-01,run-01,task-checker,tsCAP6,0.08680354543473558
14,2,sub-01,ses-01,run-01,task-checker,tsCAP7,0.3215671117118962
15,2,sub-01,ses-01,run-01,task-checker,tsCAP8,0.24985050797408903
16,3,sub-01,ses-01,run-01,task-checker,tsCAP1,0.47216189102894435
17,3,sub-01,ses-01,run-01,task-checker,tsCAP2,0.4840203405674942
18,3,sub-01,ses-01,run-01,task-checker,tsCAP3,0.3461701570913854
19,3,sub-01,ses-01,run-01,task-checker,tsCAP4,0.05300990374610078
20,3,sub-01,ses-01,run-01,task-checker,tsCAP5,0.4655549696437848
21,3,sub-01,ses-01,run-01,task-checker,tsCAP6,0.5378633318238019
22,3,sub-01,ses-01,run-01,task-checker,tsCAP7,0.3288183960472849
23,3,sub-01,ses-01,run-01,task-checker,tsCAP8,0.25105677079896244
24,4,sub-01,ses-01,run-01,task-checker,tsCAP1,0.3533866660268708
25,4,sub-01,ses-01,run-01,task-checker,tsCAP2,0.2811142590702962
26,4,sub-01,ses-01,run-01,task-checker,tsCAP3,0.24550265743376623
27,4,sub-01,ses-01,run-01,task-checker,tsCAP4,0.1750292459012661
28,4,sub-01,ses-01,run-01,task-checker,tsCAP5,0.35756268185357054
29,4,sub-01,ses-01,run-01,task-checker,tsCAP6,0.4706191765246138
30,4,sub-01,ses-01,run-01,task-checker,tsCAP7,0.24634432109910087
31,4,sub-01,ses-01,run-01,task-checker,tsCAP8,0.3072919736989371
32,5,sub-01,ses-01,run-01,task-checker,tsCAP1,0.434633632202944
33,5,sub-01,ses-01,run-01,task-checker,tsCAP2,0.2607482104238175
34,5,sub-01,ses-01,run-01,task-checker,tsCAP3,0.10001468188988405
35,5,sub-01,ses-01,run-01,task-checker,tsCAP4,0.36834504874748425
36,5,sub-01,ses-01,run-01,task-checker,tsCAP5,0.5588915193538437
