,subject,session,run,task,ts_CAPS,pearson_r
74,sub-11,ses-02,run-01,task-rest,tsCAP3,0.10837835078040235
75,sub-11,ses-02,run-01,task-rest,tsCAP4,0.11302417645066462
76,sub-11,ses-02,run-01,task-rest,tsCAP5,0.34888068662583427
77,sub-11,ses-02,run-01,task-rest,tsCAP6,0.36271810871011856
78,sub-11,ses-02,run-01,task-rest,tsCAP7,0.03977954401977399
79,sub-11,ses-02,run-01,task-rest,tsCAP8,0.05635447994354506
80,sub-12,ses-01,run-01,task-rest,tsCAP1,-0.02229466943985017
81,sub-12,ses-02,run-01,task-rest,tsCAP1,0.194916001033557
82,sub-12,ses-01,run-01,task-rest,tsCAP2,0.03423987979503413
83,sub-12,ses-02,run-01,task-rest,tsCAP2,0.10650876664897956
84,sub-12,ses-01,run-01,task-rest,tsCAP3,3.604887721451245e-05
85,sub-12,ses-02,run-01,task-rest,tsCAP3,0.07366164610172103
86,sub-12,ses-01,run-01,task-rest,tsCAP4,-0.004441336835851495
87,sub-12,ses-02,run-01,task-rest,tsCAP4,0.02725759315379636
88,sub-12,ses-01,run-01,task-rest,tsCAP5,0.05791285327819768
89,sub-12,ses-02,run-01,task-rest,tsCAP5,0.3807850667298877
90,sub-12,ses-01,run-01,task-rest,tsCAP6,0.03417347548895889
91,sub-12,ses-02,run-01,task-rest,tsCAP6,0.3645394029600469
92,sub-12,ses-01,run-01,task-rest,tsCAP7,0.14844002399540385
93,sub-12,ses-02,run-01,task-rest,tsCAP7,0.21763178073848816
94,sub-12,ses-01,run-01,task-rest,tsCAP8,0.1311088345059471
95,sub-12,ses-02,run-01,task-rest,tsCAP8,0.2085832791433274
96,sub-13,ses-01,run-01,task-rest,tsCAP1,0.09740978532883816
97,sub-13,ses-02,run-01,task-rest,tsCAP1,0.10106274626602735
98,sub-13,ses-01,run-01,task-rest,tsCAP2,0.036916724404450756
99,sub-13,ses-02,run-01,task-rest,tsCAP2,0.08129111830624311
100,sub-13,ses-01,run-01,task-rest,tsCAP3,0.06730332093260527
101,sub-13,ses-02,run-01,task-rest,tsCAP3,0.054044971141999444
102,sub-13,ses-01,run-01,task-rest,tsCAP4,0.10012993705664422
103,sub-13,ses-02,run-01,task-rest,tsCAP4,0.05978026451350949
104,sub-13,ses-01,run-01,task-rest,tsCAP5,0.20463429328724894
105,sub-13,ses-02,run-01,task-rest,tsCAP5,0.19041533375470257
106,sub-13,ses-01,run-01,task-rest,tsCAP6,0.1965542358995966
107,sub-13,ses-02,run-01,task-rest,tsCAP6,0.18164745628432
108,sub-13,ses-01,run-01,task-rest,tsCAP7,0.07992274427414757
109,sub-13,ses-02,run-01,task-rest,tsCAP7,-0.09624486753073042
110,sub-13,ses-01,run-01,task-rest,tsCAP8,0.07645672399032506
