,iteration,subject,session,run,task,ts_CAPS,pearson_r
0,1,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5597494693416496
1,1,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5556028191442871
2,1,sub-01,ses-01,run-01,task-checker,tsCAP3,0.3269380604698947
3,1,sub-01,ses-01,run-01,task-checker,tsCAP4,0.2806111112000958
4,1,sub-01,ses-01,run-01,task-checker,tsCAP5,0.5798281105976955
5,1,sub-01,ses-01,run-01,task-checker,tsCAP6,0.5852316539740989
6,1,sub-01,ses-01,run-01,task-checker,tsCAP7,0.26718652418372596
7,1,sub-01,ses-01,run-01,task-checker,tsCAP8,0.30947984752558977
8,2,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5572914775004868
9,2,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5320290921644553
10,2,sub-01,ses-01,run-01,task-checker,tsCAP3,0.4082658579125511
11,2,sub-01,ses-01,run-01,task-checker,tsCAP4,0.32424996913982995
12,2,sub-01,ses-01,run-01,task-checker,tsCAP5,0.42513073279695796
13,2,sub-01,ses-01,run-01,task-checker,tsCAP6,0.4080982609136978
14,2,sub-01,ses-01,run-01,task-checker,tsCAP7,0.2601979874434989
15,2,sub-01,ses-01,run-01,task-checker,tsCAP8,0.2898977969719946
16,3,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5982087471554545
17,3,sub-01,ses-01,run-01,task-checker,tsCAP2,0.6012491776961127
18,3,sub-01,ses-01,run-01,task-checker,tsCAP3,0.42207950568434227
19,3,sub-01,ses-01,run-01,task-checker,tsCAP4,0.401108795218183
20,3,sub-01,ses-01,run-01,task-checker,tsCAP5,0.6446233121845896
21,3,sub-01,ses-01,run-01,task-checker,tsCAP6,0.6472808319608941
22,3,sub-01,ses-01,run-01,task-checker,tsCAP7,0.18727799811076906
23,3,sub-01,ses-01,run-01,task-checker,tsCAP8,0.29894089276132696
24,4,sub-01,ses-01,run-01,task-checker,tsCAP1,0.6136080377185897
25,4,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5884526176301692
26,4,sub-01,ses-01,run-01,task-checker,tsCAP3,0.32344008403080415
27,4,sub-01,ses-01,run-01,task-checker,tsCAP4,0.16581038108844992
28,4,sub-01,ses-01,run-01,task-checker,tsCAP5,0.6096838361133656
29,4,sub-01,ses-01,run-01,task-checker,tsCAP6,0.6054635724999974
