,iteration,subject,session,run,task,ts_CAPS,pearson_r
71,9,sub-01,ses-01,run-01,task-checker,tsCAP8,0.3328994275852226
72,10,sub-01,ses-01,run-01,task-checker,tsCAP1,0.4783003401365865
73,10,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5172755843536594
74,10,sub-01,ses-01,run-01,task-checker,tsCAP3,0.4993965795952647
75,10,sub-01,ses-01,run-01,task-checker,tsCAP4,0.5028008043859528
76,10,sub-01,ses-01,run-01,task-checker,tsCAP5,0.5664459331636691
77,10,sub-01,ses-01,run-01,task-checker,tsCAP6,0.6032589066359253
78,10,sub-01,ses-01,run-01,task-checker,tsCAP7,0.32080091310782083
79,10,sub-01,ses-01,run-01,task-checker,tsCAP8,0.38905056572300956
80,1,sub-02,ses-01,run-01,task-checker,tsCAP1,0.28125556701443083
81,1,sub-02,ses-01,run-01,task-checker,tsCAP2,0.3282885489052518
82,1,sub-02,ses-01,run-01,task-checker,tsCAP3,0.36891670725067693
83,1,sub-02,ses-01,run-01,task-checker,tsCAP4,0.33715630148930215
84,1,sub-02,ses-01,run-01,task-checker,tsCAP5,0.29618568790089134
85,1,sub-02,ses-01,run-01,task-checker,tsCAP6,0.35619853069399543
86,1,sub-02,ses-01,run-01,task-checker,tsCAP7,0.12440387660848475
87,1,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.18740697260228192
88,2,sub-02,ses-01,run-01,task-checker,tsCAP1,0.42316461028958896
89,2,sub-02,ses-01,run-01,task-checker,tsCAP2,0.31152655933146295
90,2,sub-02,ses-01,run-01,task-checker,tsCAP3,0.3473088814932041
91,2,sub-02,ses-01,run-01,task-checker,tsCAP4,0.1667165009326708
92,2,sub-02,ses-01,run-01,task-checker,tsCAP5,0.33995611096874295
93,2,sub-02,ses-01,run-01,task-checker,tsCAP6,0.2582869659970609
94,2,sub-02,ses-01,run-01,task-checker,tsCAP7,0.038749007280393044
95,2,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.08351204993312925
96,3,sub-02,ses-01,run-01,task-checker,tsCAP1,0.31308929275854885
97,3,sub-02,ses-01,run-01,task-checker,tsCAP2,0.25489424390623366
98,3,sub-02,ses-01,run-01,task-checker,tsCAP3,0.38525568592633497
99,3,sub-02,ses-01,run-01,task-checker,tsCAP4,0.36623827405839404
100,3,sub-02,ses-01,run-01,task-checker,tsCAP5,0.3094667652647978
101,3,sub-02,ses-01,run-01,task-checker,tsCAP6,0.3424989643432418
102,3,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.11592367285904928
103,3,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.017503966977620508
104,4,sub-02,ses-01,run-01,task-checker,tsCAP1,0.36592454624905313
105,4,sub-02,ses-01,run-01,task-checker,tsCAP2,0.33489662435676065
106,4,sub-02,ses-01,run-01,task-checker,tsCAP3,0.43147115617533466
107,4,sub-02,ses-01,run-01,task-checker,tsCAP4,0.34456501312551224
108,4,sub-02,ses-01,run-01,task-checker,tsCAP5,0.17017555939595405
109,4,sub-02,ses-01,run-01,task-checker,tsCAP6,0.3703936003629958
110,4,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.0677692233036679
111,4,sub-02,ses-01,run-01,task-checker,tsCAP8,0.027692395926738687
112,5,sub-02,ses-01,run-01,task-checker,tsCAP1,0.49467890611361526
113,5,sub-02,ses-01,run-01,task-checker,tsCAP2,0.39761672058001124
114,5,sub-02,ses-01,run-01,task-checker,tsCAP3,0.21095906050531713
115,5,sub-02,ses-01,run-01,task-checker,tsCAP4,0.26825614904265754
116,5,sub-02,ses-01,run-01,task-checker,tsCAP5,0.30326725246078373
117,5,sub-02,ses-01,run-01,task-checker,tsCAP6,0.3935888162188313
118,5,sub-02,ses-01,run-01,task-checker,tsCAP7,0.10398815095996489
119,5,sub-02,ses-01,run-01,task-checker,tsCAP8,0.18690020098099147
120,6,sub-02,ses-01,run-01,task-checker,tsCAP1,0.4459330853165199
121,6,sub-02,ses-01,run-01,task-checker,tsCAP2,0.34930264152938967
122,6,sub-02,ses-01,run-01,task-checker,tsCAP3,0.3724855691625558
123,6,sub-02,ses-01,run-01,task-checker,tsCAP4,0.08409252552126223
124,6,sub-02,ses-01,run-01,task-checker,tsCAP5,0.4113376332476082
125,6,sub-02,ses-01,run-01,task-checker,tsCAP6,0.2696731567402361
126,6,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.036794766446041745
127,6,sub-02,ses-01,run-01,task-checker,tsCAP8,0.05514796526533274
128,7,sub-02,ses-01,run-01,task-checker,tsCAP1,0.40250613548072645
129,7,sub-02,ses-01,run-01,task-checker,tsCAP2,0.4304417515268085
130,7,sub-02,ses-01,run-01,task-checker,tsCAP3,0.41837732558542984
131,7,sub-02,ses-01,run-01,task-checker,tsCAP4,0.3738918146741645
132,7,sub-02,ses-01,run-01,task-checker,tsCAP5,0.2661896389426165
133,7,sub-02,ses-01,run-01,task-checker,tsCAP6,0.2729056866199474
134,7,sub-02,ses-01,run-01,task-checker,tsCAP7,0.07869636919149035
135,7,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.1304867379881893
136,8,sub-02,ses-01,run-01,task-checker,tsCAP1,0.18034110185060812
137,8,sub-02,ses-01,run-01,task-checker,tsCAP2,0.2112003428131831
138,8,sub-02,ses-01,run-01,task-checker,tsCAP3,0.276245683078386
139,8,sub-02,ses-01,run-01,task-checker,tsCAP4,0.3631716713549784
140,8,sub-02,ses-01,run-01,task-checker,tsCAP5,0.27176823166985603
141,8,sub-02,ses-01,run-01,task-checker,tsCAP6,0.3110387353386788
142,8,sub-02,ses-01,run-01,task-checker,tsCAP7,0.12327035583494476
143,8,sub-02,ses-01,run-01,task-checker,tsCAP8,0.0881396528254263
144,9,sub-02,ses-01,run-01,task-checker,tsCAP1,0.31222049572894106
145,9,sub-02,ses-01,run-01,task-checker,tsCAP2,0.22621079989148674
