,subject,ts_CAPS,Unnamed: 0,iteration,pearson_r
88,sub-14,tsCAP1,1432.5,5.5,0.36618404670959864
89,sub-14,tsCAP2,1434.5,5.5,0.406413284497299
90,sub-14,tsCAP3,1436.5,5.5,0.5880187962069519
91,sub-14,tsCAP4,1438.5,5.5,0.5470509426157539
92,sub-14,tsCAP5,1440.5,5.5,-0.17280412138230178
93,sub-14,tsCAP6,1442.5,5.5,-0.17229541447013305
94,sub-14,tsCAP7,1444.5,5.5,-0.0272955132822316
95,sub-14,tsCAP8,1446.5,5.5,-0.054532710179915164
96,sub-15,tsCAP1,1592.5,5.5,-0.25589349060293587
97,sub-15,tsCAP2,1594.5,5.5,-0.2900338685642581
98,sub-15,tsCAP3,1596.5,5.5,0.23670959606456687
99,sub-15,tsCAP4,1598.5,5.5,0.21069161334350187
100,sub-15,tsCAP5,1600.5,5.5,0.11394551172370884
101,sub-15,tsCAP6,1602.5,5.5,0.10141513388017795
102,sub-15,tsCAP7,1604.5,5.5,0.19170190921611135
103,sub-15,tsCAP8,1606.5,5.5,0.16108699868567986
104,sub-16,tsCAP1,1716.0,5.5,0.3722901909232864
105,sub-16,tsCAP2,1717.0,5.5,0.39052870950191076
106,sub-16,tsCAP3,1718.0,5.5,0.461979758883211
107,sub-16,tsCAP4,1719.0,5.5,0.4359897560462831
108,sub-16,tsCAP5,1720.0,5.5,-0.22339646183607945
109,sub-16,tsCAP6,1721.0,5.5,-0.23123560371405144
110,sub-16,tsCAP7,1722.0,5.5,-0.21928225623755968
111,sub-16,tsCAP8,1723.0,5.5,-0.18538765007385635
112,sub-18,tsCAP1,1796.0,5.5,0.3033557127663594
113,sub-18,tsCAP2,1797.0,5.5,0.3338719927686517
114,sub-18,tsCAP3,1798.0,5.5,0.3368852683220001
115,sub-18,tsCAP4,1799.0,5.5,0.2997342796158592
116,sub-18,tsCAP5,1800.0,5.5,0.48068756534319307
117,sub-18,tsCAP6,1801.0,5.5,0.4863523283543098
118,sub-18,tsCAP7,1802.0,5.5,0.2931197809881255
119,sub-18,tsCAP8,1803.0,5.5,0.2272367121998359
